æ—¶é—´, æ¸©åº¦
2025-01-02 14:37:32, 20.63
2025-01-02 14:37:32, 20.63
2025-01-02 14:37:32, 20.44
2025-01-02 14:37:32, 20.44
2025-01-02 14:37:32, 20.32
2025-01-02 14:37:32, 20.32
2025-01-02 14:37:32, 20.48
2025-01-02 14:37:32, 20.48
2025-01-02 14:37:32, 20.61
2025-01-02 14:37:32, 20.61
2025-01-02 14:37:32, 20.52
2025-01-02 14:37:32, 20.52
2025-01-02 14:37:32, 20.2
2025-01-02 14:37:32, 20.2
2025-01-02 14:37:32, 20.16
2025-01-02 14:37:32, 20.16
2025-01-02 14:37:32, 20.62
2025-01-02 14:37:32, 20.62
2025-01-02 14:37:32, 20.43
2025-01-02 14:37:32, 20.43
2025-01-02 14:37:32, 20.43
2025-01-02 14:37:32, 20.54
2025-01-02 14:37:32, 20.54
2025-01-02 14:37:32, 20.07
2025-01-02 14:37:32, 20.07
2025-01-02 14:37:32, 20.07
2025-01-02 14:37:32, 20.07
2025-01-02 14:37:32, 20.31
2025-01-02 14:37:32, 20.31
2025-01-02 14:37:32, 20.3
2025-01-02 14:37:32, 20.3
2025-01-02 14:37:33, 20.72
2025-01-02 14:37:33, 20.72
2025-01-02 14:37:33, 20.6
2025-01-02 14:37:33, 20.6
2025-01-02 14:37:33, 20.6
2025-01-02 14:37:33, 20.01
2025-01-02 14:37:33, 20.01
2025-01-02 14:37:33, 20.3
2025-01-02 14:37:33, 20.3
2025-01-02 14:37:33, 20.48
2025-01-02 14:37:33, 20.48
2025-01-02 14:37:33, 20.48
2025-01-02 14:37:33, 20.63
2025-01-02 14:37:33, 20.63
2025-01-02 14:37:33, 20.82
2025-01-02 14:37:33, 20.82
2025-01-02 14:37:33, 20.09
2025-01-02 14:37:33, 20.09
2025-01-02 14:37:33, 20.73
2025-01-02 14:37:33, 20.73
2025-01-02 14:37:33, 20.11
2025-01-02 14:37:33, 20.11
2025-01-02 14:37:33, 20.4
2025-01-02 14:37:33, 20.4
2025-01-02 14:37:33, 20.39
2025-01-02 14:37:33, 20.39
2025-01-02 14:37:33, 20.39
2025-01-02 14:37:33, 20.05
2025-01-02 14:37:33, 20.05
2025-01-02 14:37:33, 20.29
2025-01-02 14:37:33, 20.29
2025-01-02 14:37:33, 20.45
2025-01-02 14:37:33, 20.45
2025-01-02 14:37:33, 20.81
2025-01-02 14:37:33, 20.81
2025-01-02 14:37:33, 19.99
2025-01-02 14:37:33, 19.99
2025-01-02 14:37:34, 20.48
2025-01-02 14:37:34, 20.48
2025-01-02 14:37:34, 20.01
2025-01-02 14:37:34, 20.01
2025-01-02 14:37:34, 20.01
2025-01-02 14:37:34, 20.6
2025-01-02 14:37:34, 20.6
2025-01-02 14:37:34, 20.14
2025-01-02 14:37:34, 20.14
2025-01-02 14:37:34, 20.54
2025-01-02 14:37:34, 20.54
2025-01-02 14:37:34, 20.65
2025-01-02 14:37:34, 20.65
2025-01-02 14:37:34, 20.28
2025-01-02 14:37:34, 20.28
2025-01-02 14:37:34, 20.28
2025-01-02 14:37:34, 20.79
2025-01-02 14:37:34, 20.79
2025-01-02 14:37:34, 20.47
2025-01-02 14:37:34, 20.47
2025-01-02 14:37:34, 20.3
2025-01-02 14:37:34, 20.3
2025-01-02 14:37:34, 20.0
2025-01-02 14:37:34, 20.0
2025-01-02 14:37:34, 20.04
2025-01-02 14:37:34, 20.04
2025-01-02 14:37:34, 20.41
2025-01-02 14:37:34, 20.41
2025-01-02 14:37:34, 20.26
2025-01-02 14:37:34, 20.26
2025-01-02 14:37:34, 20.08
2025-01-02 14:37:34, 20.08
2025-01-02 14:37:34, 20.25
2025-01-02 14:37:34, 20.25
2025-01-02 14:37:34, 20.58
2025-01-02 14:37:34, 20.58
2025-01-02 14:37:35, 20.58
2025-01-02 14:37:35, 20.04
2025-01-02 14:37:35, 20.04
2025-01-02 14:37:35, 20.35
2025-01-02 14:37:35, 20.35
2025-01-02 14:37:35, 20.1
2025-01-02 14:37:35, 20.1
2025-01-02 14:37:35, 20.1
2025-01-02 14:37:35, 20.48
2025-01-02 14:37:35, 20.48
2025-01-02 14:37:35, 20.29
2025-01-02 14:37:35, 20.29
2025-01-02 14:37:35, 20.7
2025-01-02 14:37:35, 20.7
2025-01-02 14:37:35, 20.31
2025-01-02 14:37:35, 20.31
2025-01-02 14:37:35, 19.78
2025-01-02 14:37:35, 19.78
2025-01-02 14:37:35, 20.66
2025-01-02 14:37:35, 20.66
2025-01-02 14:37:35, 19.98
2025-01-02 14:37:35, 19.98
2025-01-02 14:37:35, 20.68
2025-01-02 14:37:35, 20.68
2025-01-02 14:37:35, 20.68
2025-01-02 14:37:35, 20.2
2025-01-02 14:37:35, 20.2
2025-01-02 14:37:35, 20.31
2025-01-02 14:37:35, 20.31
2025-01-02 14:37:35, 20.57
2025-01-02 14:37:35, 20.57
2025-01-02 14:37:35, 20.11
2025-01-02 14:37:35, 20.11
2025-01-02 14:37:35, 20.19
2025-01-02 14:37:35, 20.19
2025-01-02 14:37:35, 20.05
2025-01-02 14:37:35, 20.05
2025-01-02 14:37:36, 20.57
2025-01-02 14:37:36, 20.57
2025-01-02 14:37:36, 19.92
2025-01-02 14:37:36, 19.92
2025-01-02 14:37:36, 19.92
2025-01-02 14:37:36, 20.36
2025-01-02 14:37:36, 20.36
2025-01-02 14:37:36, 20.49
2025-01-02 14:37:36, 20.49
2025-01-02 14:37:36, 20.52
2025-01-02 14:37:36, 20.52
2025-01-02 14:37:36, 19.94
2025-01-02 14:37:36, 19.94
2025-01-02 14:37:36, 20.37
2025-01-02 14:37:36, 20.37
2025-01-02 14:37:36, 20.37
2025-01-02 14:37:36, 20.55
2025-01-02 14:37:36, 20.55
2025-01-02 14:37:36, 20.07
2025-01-02 14:37:36, 20.07
2025-01-02 14:37:36, 20.39
2025-01-02 14:37:36, 20.39
2025-01-02 14:37:36, 20.39
2025-01-02 14:37:36, 20.39
2025-01-02 14:37:36, 20.11
2025-01-02 14:37:36, 20.11
2025-01-02 14:37:36, 19.91
2025-01-02 14:37:36, 19.91
2025-01-02 14:37:36, 20.38
2025-01-02 14:37:36, 20.38
2025-01-02 14:37:36, 20.38
2025-01-02 14:37:36, 20.87
2025-01-02 14:37:36, 20.87
2025-01-02 14:37:36, 20.64
2025-01-02 14:37:36, 20.64
2025-01-02 14:37:36, 19.99
2025-01-02 14:37:37, 19.99
2025-01-02 14:37:37, 20.19
2025-01-02 14:37:37, 20.19
2025-01-02 14:37:37, 20.51
2025-01-02 14:37:37, 20.51
2025-01-02 14:37:37, 20.2
2025-01-02 14:37:37, 20.2
2025-01-02 14:37:37, 20.43
2025-01-02 14:37:37, 20.43
2025-01-02 14:37:37, 20.43
2025-01-02 14:37:37, 20.48
2025-01-02 14:37:37, 20.48
2025-01-02 14:37:37, 20.41
2025-01-02 14:37:37, 20.41
2025-01-02 14:37:37, 20.38
2025-01-02 14:37:37, 20.38
2025-01-02 14:37:37, 20.22
2025-01-02 14:37:37, 20.22
2025-01-02 14:37:37, 20.3
2025-01-02 14:37:37, 20.3
2025-01-02 14:37:37, 19.92
2025-01-02 14:37:37, 19.92
2025-01-02 14:37:37, 20.17
2025-01-02 14:37:37, 20.17
2025-01-02 14:37:37, 20.3
2025-01-02 14:37:37, 20.3
2025-01-02 14:37:37, 20.3
2025-01-02 14:37:37, 20.18
2025-01-02 14:37:37, 20.18
2025-01-02 14:37:37, 20.5
2025-01-02 14:37:37, 20.5
2025-01-02 14:37:37, 20.22
2025-01-02 14:37:37, 20.22
2025-01-02 14:37:37, 20.34
2025-01-02 14:37:37, 20.34
2025-01-02 14:37:37, 20.45
2025-01-02 14:37:37, 20.45
2025-01-02 14:37:38, 20.23
2025-01-02 14:37:38, 20.23
2025-01-02 14:37:38, 20.12
2025-01-02 14:37:38, 20.12
2025-01-02 14:37:38, 20.12
2025-01-02 14:37:38, 20.15
2025-01-02 14:37:38, 20.15
2025-01-02 14:37:38, 20.08
2025-01-02 14:37:38, 20.08
2025-01-02 14:37:38, 20.41
2025-01-02 14:37:38, 20.41
2025-01-02 14:37:38, 20.42
2025-01-02 14:37:38, 20.42
2025-01-02 14:37:38, 20.0
2025-01-02 14:37:38, 20.0
2025-01-02 14:37:38, 20.05
2025-01-02 14:37:38, 20.05
2025-01-02 14:37:38, 20.25
2025-01-02 14:37:38, 20.25
2025-01-02 14:37:38, 20.0
2025-01-02 14:37:38, 20.0
2025-01-02 14:37:38, 20.0
2025-01-02 14:37:38, 20.48
2025-01-02 14:37:38, 20.48
2025-01-02 14:37:38, 20.71
2025-01-02 14:37:38, 20.71
2025-01-02 14:37:38, 20.29
2025-01-02 14:37:38, 20.29
2025-01-02 14:37:38, 20.42
2025-01-02 14:37:38, 20.42
2025-01-02 14:37:38, 20.35
2025-01-02 14:37:38, 20.35
2025-01-02 14:37:38, 20.37
2025-01-02 14:37:38, 20.37
2025-01-02 14:37:38, 20.2
2025-01-02 14:37:38, 20.2
2025-01-02 14:37:39, 20.48
2025-01-02 14:37:39, 20.48
2025-01-02 14:37:39, 20.64
2025-01-02 14:37:39, 20.64
2025-01-02 14:37:39, 20.64
2025-01-02 14:37:39, 20.16
2025-01-02 14:37:39, 20.16
2025-01-02 14:37:39, 20.07
2025-01-02 14:37:39, 20.07
2025-01-02 14:37:39, 20.11
